Journal Code,Journal Group code,Journal Family Code,Journal Title,Status,Global Subject Category,Business Unit,ISSN code,ISBN,JPS Code,E-Journal Code,Pub Source,Product Line(E),Product Line(J),Subject Code 1,Subject Code 2,Global Subject Category.1,New Office,Ownership,Owned by,Society,Soc. Acronym,Editor Name
VCO,VCO,,Veterinary and Comparative Oncology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
VCO2,VCO,,Veterinary and Comparative Oncology               (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
VCP,VCP,,Veterinary Clinical Pathology,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VCP2,VCP,,Veterinary Clinical Pathology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VDE,VDE,,Veterinary Dermatology,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VDE2,VDE,,Veterinary Dermatology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VEC,VEC,,Journal of Veterinary Emergency and Critical Care,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VEC2,VEC,,Journal of Veterinary Emergency and Critical Care (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VER,VER,,Visualisation of Engineering Research: an         International Journal On CD-Rom,C-Ceased,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
VHE,VHE,,Value In Health,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VHE2,VHE,,Value In Health (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VIB,VIB,,Shock and Vibration,S-Sold/InterCo Transfr,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
VIE,VIE,,Veterinary International (English edition),C-Ceased,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
VIPR,VIPR,,Vakuum in Forschung und Praxis                    Alpha code for WIS - Info Only - see journal 2035,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
VIW,VIW2,VIW2,View,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,J-Joint Owned,,,,
VIW2,VIW2,VIW2,View,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,J-Joint Owned,,,,
VJCH,VJCH,,Vietnam Journal of Chemistry                       Alpha code for WOL - Info Only - see journal E278,I-Info Only,,,,,,,,,,,,,,J-Joint Owned,,,,
VJE,VJE,,International Video Journal of Engineering        Research,C-Ceased,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
VMR,VMR,,The Volunteer Management Report,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
VMR2,VMR,,The Volunteer Management Report                   (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
VMS3,VMS3,,Veterinary Medicine and Science (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
VNJ,VNJ,,Veterinary Nursing Journal,S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VNJ3,VNJ,,Veterinary Nursing Journal (Electronic),S-Sold/InterCo Transfr,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VNL,VNL,,Journal of Vinyl & Additive Technology,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
VNL2,VNL,,Journal of Vinyl & Additive Technology,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,N-Society Owned,,,,
VOIC,VOIC,,Voices,S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
VOI3,VOIC,,Voices (Electronic),S-Sold/InterCo Transfr,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,N-Society Owned,,,,
VOMW,VOMW,,Vom Wasser                                        Alpha Code for WIS - Info Only - See Journal 2419,I-Info Only,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,-,,,,
VOP,VOP,,Veterinary Ophthalmology,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VOPP,VOPP,,Veterinary Ophthalmology                          (Special Issue),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VOP2,VOP,,Veterinary Ophthalmology (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VOX,VOX,VOX,Vox Sanguinis,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VOXS,VOXS,VOX,ISBT Science Series,O-Obsolete media,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VOX2,VOX,VOX,Vox Sanguinis (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VOX3,VOXS,VOX,ISBT Science Series,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VRU,VRU,,Veterinary Radiology & Ultrasound,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VRU2,VRU,,Veterinary Radiology & Ultrasound (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VSU,VSU,,Veterinary Surgery,P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VSU2,VSU,,Veterinary Surgery (Electronic),P-Current publication,STMS Health Sciences,Health Sci,,,,,,,,,,,,N-Society Owned,,,,
VZJ2,VZJ2,VZJ2,Vadose Zone Journal,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
WATP,WATP,,All Journals Database,P-Current publication,STMS Social Sci & Humanit,SSH,,,,,,,,,,,,O-Proprietary Owned,,,,
WAT2,WAT2,,WIREs Water (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WBM,WBM,,Weed Biology and Management,P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
WBM2,WBM,,Weed Biology and Management (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,N-Society Owned,,,,
WCAF,WCAF,WCAF,Consolidated Access Fee,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WCC,WCC,,WIREs Climate Change,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WCC2,WCC,,WIREs Climate Change (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WCM,WCM,,Wireless Communications & Mobile Computing,U-Outsourced,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WCMS,WCMS,,WIREs Computational Molecular Science,O-Obsolete media,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WCM2,WCM,,Wireless Communications and Mobile Computing,U-Outsourced,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WCM3,WCMS,,WIREs Computational Molecular Science (Electronic),P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WCS,WCS,,WIREs Cognitive Science                            Science,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WCS2,WCS,,WIREs Cognitive Science (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WDEV,WDEV,,WIREs Developmental Biology,O-Obsolete media,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WDE3,WDEV,,WIREs Developmental Biology (Electronic),P-Current publication,STMS Life Sciences,Life Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
WE,WE,,Wind Energy,P-Current publication,STMS Physical Sciences &,Physical Sci,,,,,,,,,,,,O-Proprietary Owned,,,,
